Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Source type (best estimate),Sectors (IPCC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions
S00006,34.44705,-118.588342,ang20160910t185702-A,9/10/16,18:57,gas storage facility,1B2 Oil & Natural Gas,132,50
S00006,34.44705,-118.588342,ang20160910t191651-A,9/10/16,19:16,gas storage facility,1B2 Oil & Natural Gas,89,52
S00006,34.44705,-118.588342,ang20160910t192242-A,9/10/16,19:22,gas storage facility,1B2 Oil & Natural Gas,185,70
S00006,34.44705,-118.588342,ang20160912t195241-A,9/12/16,19:52,gas storage facility,1B2 Oil & Natural Gas,138,52
S00006,34.44705,-118.588342,ang20160912t225718-B,9/12/16,22:57,gas storage facility,1B2 Oil & Natural Gas,350,106
S00006,34.44705,-118.588342,ang20160916t221543-D,9/16/16,22:15,gas storage facility,1B2 Oil & Natural Gas,111,56
S00006,34.44705,-118.588342,ang20160917t181611-A,9/17/16,18:16,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20160917t224332-B,9/17/16,22:43,gas storage facility,1B2 Oil & Natural Gas,340,78
S00006,34.44705,-118.588342,ang20160925t170117-A,9/25/16,17:01,gas storage facility,1B2 Oil & Natural Gas,1134,202
S00006,34.44705,-118.588342,ang20160925t201200-A,9/25/16,20:12,gas storage facility,1B2 Oil & Natural Gas,400,223
S00006,34.44705,-118.588342,ang20161003t192244-A,10/3/16,19:22,gas storage facility,1B2 Oil & Natural Gas,212,138
S00006,34.44705,-118.588342,ang20161008t220452-A,10/8/16,22:04,gas storage facility,1B2 Oil & Natural Gas,348,235
S00006,34.44705,-118.588342,ang20161103t221806-A,11/3/16,22:18,gas storage facility,1B2 Oil & Natural Gas,382,74
S00006,34.44705,-118.588342,ang20161103t222451-A,11/3/16,22:24,gas storage facility,1B2 Oil & Natural Gas,683,117
S00006,34.44705,-118.588342,ang20161103t224501-A,11/3/16,22:45,gas storage facility,1B2 Oil & Natural Gas,1767,263
S00006,34.44705,-118.588342,ang20161104t183025-A,11/4/16,18:30,gas storage facility,1B2 Oil & Natural Gas,519,107
S00006,34.44705,-118.588342,ang20161104t195416-A,11/4/16,19:54,gas storage facility,1B2 Oil & Natural Gas,656,138
S00006,34.44705,-118.588342,ang20170901t185046-A,9/1/17,18:50,gas storage facility,1B2 Oil & Natural Gas,542,200
S00006,34.44705,-118.588342,ang20170902t173429-A,9/2/17,17:34,gas storage facility,1B2 Oil & Natural Gas,182,53
S00006,34.44705,-118.588342,ang20170905t172731-A,9/5/17,17:27,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20170905t222530-A,9/5/17,22:25,gas storage facility,1B2 Oil & Natural Gas,118,36
S00006,34.44705,-118.588342,ang20170906t223923-A,9/6/17,22:39,gas storage facility,1B2 Oil & Natural Gas,207,76
S00006,34.44705,-118.588342,ang20170907t173553-A,9/7/17,17:35,gas storage facility,1B2 Oil & Natural Gas,133,47
S00006,34.44705,-118.588342,ang20170907t181959-C,9/7/17,18:19,gas storage facility,1B2 Oil & Natural Gas,150,61
S00006,34.44705,-118.588342,ang20170909t220704-A,9/9/17,22:07,gas storage facility,1B2 Oil & Natural Gas,623,183
S00006,34.44705,-118.588342,ang20170913t235640-A,9/13/17,23:56,gas storage facility,1B2 Oil & Natural Gas,564,249
S00006,34.44705,-118.588342,ang20170920t223620-A,9/20/17,22:36,gas storage facility,1B2 Oil & Natural Gas,96,33
S00006,34.44705,-118.588342,ang20170928t190510-A,9/28/17,19:05,gas storage facility,1B2 Oil & Natural Gas,140,77
S00006,34.44705,-118.588342,ang20171007t221103-A,10/7/17,22:11,gas storage facility,1B2 Oil & Natural Gas,61,49
S00006,34.44705,-118.588342,ang20171010t173555-A,10/10/17,17:35,gas storage facility,1B2 Oil & Natural Gas,333,142
S00006,34.44705,-118.588342,ang20171010t174049-A,10/10/17,17:40,gas storage facility,1B2 Oil & Natural Gas,445,217
S00006,34.44705,-118.588342,ang20171010t174516-A,10/10/17,17:45,gas storage facility,1B2 Oil & Natural Gas,517,245
S00006,34.44705,-118.588342,ang20171010t175035-A,10/10/17,17:50,gas storage facility,1B2 Oil & Natural Gas,350,201
S00006,34.44705,-118.588342,ang20171010t175513-A,10/10/17,17:55,gas storage facility,1B2 Oil & Natural Gas,618,294
S00006,34.44705,-118.588342,ang20171010t175958-A,10/10/17,17:59,gas storage facility,1B2 Oil & Natural Gas,376,188
S00006,34.44705,-118.588342,ang20171016t191057-A,10/16/17,19:10,gas storage facility,1B2 Oil & Natural Gas,490,170
S00006,34.44705,-118.588342,ang20171016t191530-A,10/16/17,19:15,gas storage facility,1B2 Oil & Natural Gas,394,115
S00006,34.44705,-118.588342,ang20171016t192001-A,10/16/17,19:20,gas storage facility,1B2 Oil & Natural Gas,549,199
S00006,34.44705,-118.588342,ang20171016t192429-A,10/16/17,19:24,gas storage facility,1B2 Oil & Natural Gas,433,122
S00006,34.44705,-118.588342,ang20171026t190057-A,10/26/17,19:00,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t191727-A,10/26/17,19:17,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t192142-A,10/26/17,19:21,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t192539-A,10/26/17,19:25,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t193010-A,10/26/17,19:30,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t193343-A,10/26/17,19:33,gas storage facility,1B2 Oil & Natural Gas,,
S00006,34.44705,-118.588342,ang20171026t193733-C,10/26/17,19:37,gas storage facility,1B2 Oil & Natural Gas,,
