New source,Source Latitude (deg),Source Longitude (deg),Plume Latitude (deg),Plume Longitude (deg),Candidate ID,Line name,Date of detection,Time of detection (UTC),Vista ID,Source type (best estimate),Sectors (IPCC),IME/L (kg/m),sIME (kg/m),u10 (m/s),su10 (m/s),Qplume (kg/hr)*,sQplume (kg/hr)*,Nearest facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160910t185702-A,ang20160910t185702,9/10/16,18:57:02,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.031,0.008,1.17,0.33,132,50,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160910t191651-A,ang20160910t191651,9/10/16,19:16:51,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.012,0.006,2.05,0.65,89,52,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160910t192242-A,ang20160910t192242,9/10/16,19:22:42,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.025,0.005,2.05,0.65,185,70,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160912t195241-A,ang20160912t195241,9/12/16,19:52:41,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.018,0.002,2.15,0.76,138,52,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160912t225718-B,ang20160912t225718,9/12/16,22:57:18,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.026,0.006,3.77,0.73,350,106,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160916t221543-D,ang20160916t221543,9/16/16,22:15:43,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.011,0.004,2.77,0.99,111,56,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160917t181611-A,ang20160917t181611,9/17/16,18:16:11,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.025,0.004,1.05,0.39,,,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160917t224332-B,ang20160917t224332,9/17/16,22:43:32,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.019,0.003,5.02,0.83,340,78,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160925t170117-A,ang20160925t170117,9/25/16,17:01:17,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.037,0.006,8.61,0.7,1134,202,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20160925t201200-A,ang20160925t201200,9/25/16,20:12:00,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.015,0.008,7.48,0.91,400,223,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161003t192244-A,ang20161003t192244,10/3/16,19:22:44,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.019,0.011,3.11,0.88,212,138,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161008t220452-A,ang20161008t220452,10/8/16,22:04:52,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.027,0.015,3.55,1.4,348,235,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161103t221806-A,ang20161103t221806,11/3/16,22:18:06,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.021,0.004,5.16,0.45,382,74,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161103t222451-A,ang20161103t222451,11/3/16,22:24:51,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.037,0.005,5.16,0.45,683,117,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161103t224501-A,ang20161103t224501,11/3/16,22:45:01,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.095,0.012,5.16,0.45,1767,263,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161104t183025-A,ang20161104t183025,11/4/16,18:30:25,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.045,0.008,3.21,0.35,519,107,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20161104t195416-A,ang20161104t195416,11/4/16,19:54:16,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.058,0.008,3.15,0.5,656,138,Honor Rancho Gas Storage Facility
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170901t185046-A,ang20170901t185046,9/1/17,18:50:46,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.023,0.008,6.54,0.47,542,200,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170902t173429-A,ang20170902t173429,9/2/17,17:34:29,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.018,0.005,2.77,0.4,182,53,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170905t172731-A,ang20170905t172731,9/5/17,17:27:31,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.032,0.004,0.91,0.35,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170905t222530-A,ang20170905t222530,9/5/17,22:25:30,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.013,0.003,2.48,0.49,118,36,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170906t223923-A,ang20170906t223923,9/6/17,22:39:23,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.013,0.004,4.5,0.65,207,76,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170907t173553-A,ang20170907t173553,9/7/17,17:35:53,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.028,0.007,1.32,0.34,133,47,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170907t181959-C,ang20170907t181959,9/7/17,18:19:59,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.024,0.006,1.73,0.57,150,61,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170909t220704-A,ang20170909t220704,9/9/17,22:07:04,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.046,0.012,3.79,0.51,623,183,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170913t235640-A,ang20170913t235640,9/13/17,23:56:40,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.044,0.017,3.54,0.78,564,249,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170920t223620-A,ang20170920t223620,9/20/17,22:36:20,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.007,0.002,3.96,0.94,96,33,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20170928t190510-A,ang20170928t190510,9/28/17,19:05:10,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.012,0.004,3.31,1.39,140,77,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171007t221103-A,ang20171007t221103,10/7/17,22:11:03,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.007,0.005,2.47,0.53,61,49,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t173555-A,ang20171010t173555,10/10/17,17:35:55,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.026,0.006,3.5,1.29,333,142,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t174049-A,ang20171010t174049,10/10/17,17:40:49,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.035,0.011,3.5,1.29,445,217,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t174516-A,ang20171010t174516,10/10/17,17:45:16,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.041,0.012,3.5,1.29,517,245,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t175035-A,ang20171010t175035,10/10/17,17:50:35,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.028,0.012,3.5,1.29,350,201,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t175513-A,ang20171010t175513,10/10/17,17:55:13,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.049,0.015,3.5,1.29,618,294,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171010t175958-A,ang20171010t175958,10/10/17,17:59:58,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.03,0.01,3.5,1.29,376,188,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171016t191057-A,ang20171016t191057,10/16/17,19:10:57,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.043,0.013,3.14,0.58,490,170,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171016t191530-A,ang20171016t191530,10/16/17,19:15:30,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.035,0.008,3.14,0.58,394,115,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171016t192001-A,ang20171016t192001,10/16/17,19:20:01,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.049,0.015,3.14,0.58,549,199,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171016t192429-A,ang20171016t192429,10/16/17,19:24:29,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.038,0.008,3.14,0.58,433,122,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t190057-A,ang20171026t190057,10/26/17,19:00:57,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.026,0.012,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t191727-A,ang20171026t191727,10/26/17,19:17:27,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.049,0.018,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
S00006,34.44705,-118.588342,34.44705,-118.588342,ang20171026t192142-A,ang20171026t192142,10/26/17,19:21:42,NSF000003,gas storage facility,1B2 Oil & Natural Gas,0.02,0.005,0.64,0.26,,,"Honor Rancho Gas Storage Facility, west vent"
