Source identifier ,Source latitude (deg),Source longitude (deg),Vista ID,Source type ,IPCC sector,N overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr),sQ  (kg/hr),,
S00006,34.4471,-118.5883,NSF000003,gas storage facility,1B2 Oil & Natural Gas,66,0.76,1.0,295.4,98.6,,
S00007,33.9060,-118.4063,REF000005,refinery,1A1 Energy Industries,15,0.13,1.0,22.4,6.2,,
S00008,33.9054,-118.4064,REF000005,refinery,1A1 Energy Industries,14,0.14,1.0,15.4,5.3,,
S00011,33.7770,-118.2870,REF000013,refinery,1A1 Energy Industries,11,0.09,1.0,4.9,2.4,,
S00012,33.7726,-118.2864,REF000013,refinery,1A1 Energy Industries,11,0.27,1.0,21.1,10.4,,
S00014,33.8047,-118.2439,REF000012,refinery,1A1 Energy Industries,21,0.19,1.0,7.7,2.2,,
S00016,33.8158,-118.2469,REF000021,refinery,1A1 Energy Industries,23,0.04,1.0,2.8,1.7,,
S00017,33.9727,-117.6999,NA,gas distribution line,1B2 Oil & Natural Gas,9,0.33,0.9,92.8,35.2,,
S00019,34.7799,-116.5943,NGS0925,gas compressor,1B2 Oil & Natural Gas,8,0.13,0.9,15.3,9.3,,
S00022,35.1851,-119.1021,DAF000803,dairy/manure,3A2 Manure Management,13,0.08,1.0,9.6,1.6,,
S00023,35.2007,-119.0524,DAF000422,dairy/manure,3A2 Manure Management,12,0.33,1.0,109.3,32.5,,
S00024,35.2139,-118.9880,DAF000513,dairy/manure,3A2 Manure Management,1,1,0.3,122.2,54.1,,
S00025,35.1750,-119.1243,DAF000104,dairy/manure,3A2 Manure Management,19,0.05,1.0,6.0,0.6,,
S00027,35.1860,-119.1034,DAF000803,dairy/manure,3A2 Manure Management,14,0.07,1.0,13.1,1.6,,
S00029,35.2040,-119.1989,DAF000839,dairy/manure,3A2 Manure Management,11,0.09,1.0,50.9,17.9,,
S00030,35.2143,-119.2074,DAF000681,dairy/manure,3A2 Manure Management,12,0.17,1.0,49.4,9.8,,
S00031,35.2143,-119.2097,DAF000681,dairy/manure,3A2 Manure Management,13,0.08,1.0,21.1,3.1,,
S00032,35.2025,-119.1988,DAF000839,dairy/manure,3A2 Manure Management,11,0.09,1.0,14.5,5.0,,
S00033,35.2514,-119.1572,DAF000097,dairy/manure,3A2 Manure Management,8,0.13,0.9,23.5,6.0,,
S00035,36.0005,-119.5009,DAF000207,dairy/manure,3A2 Manure Management,1,1,0.3,294.4,114.5,,
S00036,35.9909,-119.4919,DAF000207,dairy/manure,3A2 Manure Management,2,0.5,0.4,53.2,16.3,,
S00037,36.0185,-119.4168,DAF000611,dairy/manure,3A2 Manure Management,9,0.22,0.9,57.3,33.3,,
S00038,36.0445,-119.2168,DAF000182,dairy/manure,3A2 Manure Management,1,1,0.3,137.0,76.4,,
S00039,36.0935,-119.3397,DAF000754,dairy/manure,3A2 Manure Management,8,0.25,0.9,29.4,2.0,,
S00041,36.0735,-119.4409,DAF000345,dairy/manure - digester,3A2 Manure Management,9,0.56,0.9,170.6,51.4,,
S00042,37.9864,-121.4738,NSF000010,gas storage facility,1B2 Oil & Natural Gas,20,0.5,1.0,64.6,23.4,,
S00043,36.0786,-119.4416,DAF000345,dairy/manure,3A2 Manure Management,10,0.1,0.9,0.9,0.5,,
S00048,36.1414,-119.5360,DAF000797,dairy/manure,3A2 Manure Management,2,0.5,0.4,132.9,42.8,,
S00049,36.2158,-119.1659,DAF000389,dairy/manure,3A2 Manure Management,8,0.13,0.9,11.2,2.8,,
S00050,36.2032,-119.1911,DAF000676,dairy/manure,3A2 Manure Management,8,0.13,0.9,11.2,2.8,,
S00051,36.1653,-119.5379,DAF000009,dairy/manure,3A2 Manure Management,2,0.5,0.4,142.1,37.6,,
S00053,36.1640,-119.6925,NA,dairy/manure,3A2 Manure Management,3,0.33,0.6,18.9,2.3,,
S00054,36.1824,-119.6591,NA,dairy/manure,3A2 Manure Management,9,0.11,0.9,1.2,0.3,,
S00060,36.2055,-119.5324,DAF000317,dairy/manure,3A2 Manure Management,2,0.5,0.4,7.8,4.4,,
S00067,36.2486,-119.4982,DAF000724,dairy/manure,3A2 Manure Management,2,0.5,0.4,79.7,22.8,,
S00068,36.2300,-119.6132,NA,dairy/manure,3A2 Manure Management,2,0.5,0.4,134.5,57.1,,
S00071,36.2422,-119.5489,DAF000142,dairy/manure,3A2 Manure Management,3,0.33,0.6,53.1,15.2,,
S00074,36.2761,-119.4522,DAF000326,dairy/manure,3A2 Manure Management,5,0.4,0.8,135.9,33.5,,
S00075,36.2623,-119.6278,NA,dairy/manure,3A2 Manure Management,4,0.5,0.7,34.1,7.9,,
S00078,34.3857,-118.4967,FLD000337,oil/gas tank,1B2 Oil & Natural Gas,11,0.09,1.0,7.1,2.4,,
S00080,34.4474,-118.5867,NSF000003,gas compressor,1B2 Oil & Natural Gas,66,0.29,1.0,134.4,51.8,,
S00081,36.4994,-119.6175,DAF000792,wastewater treatment,4D2 Industrial Wastewater Treatment & Discharge,7,0.86,0.9,411.1,176.0,,
S00082,36.4138,-119.8651,DAF000334,dairy/manure,3A2 Manure Management,3,0.33,0.6,87.8,32.5,,
S00083,35.1666,-119.1019,DAF000104,dairy/manure,3A2 Manure Management,35,0.17,1.0,40.1,11.3,,
S00088,33.8562,-117.0803,NA,dairy/manure,3A2 Manure Management,1,1,0.3,47.3,21.7,,
S00089,34.0021,-117.6164,NA,dairy/manure,3A2 Manure Management,3,0.33,0.6,24.5,7.0,,
S00090,36.7243,-120.2339,DAF000084,dairy/manure,3A2 Manure Management,3,0.33,0.6,34.5,15.9,,
S00091,34.3805,-118.4982,FLD000337,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,11,0.09,1.0,20.9,4.2,,
S00092,34.3852,-118.4963,FLD000337,oil/gas tank,1B2 Oil & Natural Gas,11,0.09,1.0,12.4,3.2,,
S00094,38.0423,-122.2523,REF000014,refinery,1A1 Energy Industries,15,0.67,1.0,109.6,56.5,,
S00098,37.9368,-122.4044,REF000004,refinery,1A1 Energy Industries,6,0.17,0.8,27.2,8.8,,
S00099,37.9497,-122.3966,REF000004,refinery,1A1 Energy Industries,13,0.62,1.0,373.1,161.8,,
S00102,33.9950,-118.1521,LNG000013,gas LNG station,1B2 Oil & Natural Gas,7,0.14,0.9,19.8,5.3,,
S00103,34.0016,-118.3693,FLD000199,oil/gas tank,1B2 Oil & Natural Gas,11,0.64,1.0,77.8,20.1,,
S00104,36.1638,-120.3952,FLD000090,oil/gas gathering line,1B2 Oil & Natural Gas,4,0.25,0.7,75.7,24.0,,
S00105,36.2090,-120.3931,FLD000090,oil/gas waste lagoon,1B2 Oil & Natural Gas,2,0.5,0.4,97.0,21.6,,
S00106,35.4460,-119.0150,FLD000208,oil/gas drill rig,1B2 Oil & Natural Gas,9,0.44,0.9,56.3,15.4,,
S00107,35.4708,-119.0394,FLD000207,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,9,0.11,0.9,45.8,10.9,,
S00110,35.4829,-119.0576,FLD000207,oil/gas pumpjack,1B2 Oil & Natural Gas,9,0.33,0.9,61.4,9.2,,
S00116,35.4990,-119.0721,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,12,0.58,1.0,168.6,32.9,,
S00117,35.5061,-119.0741,FLD000344,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,18,0.22,1.0,33.9,7.2,,
S00118,35.5075,-119.0742,FLD000344,oil/gas pumpjack,1B2 Oil & Natural Gas,21,0.24,1.0,41.5,9.3,,
S00119,35.4749,-119.4306,DAF000888,dairy/manure,3A2 Manure Management,8,0.25,0.9,98.4,21.4,,
S00120,35.2382,-119.5914,LNF000030,oil/gas gathering line,1B2 Oil & Natural Gas,6,0.17,0.8,43.9,16.9,,
S00121,35.3647,-119.6700,FLD000112,oil/gas gathering line,1B2 Oil & Natural Gas,7,0.71,0.9,57.3,2.2,,
S00122,35.4805,-119.7431,NPP000003,oil/gas unknown infrastucture,1B2 Oil & Natural Gas,3,0.33,0.6,37.0,18.4,,
